id,category_group,name,price,brand,color,rating,sold_qty,url,image
357576,Điện thoại,Điện thoại vivo V60 Lite 5G 8GB/256GB,9520000,vivo,Hồng,4.9,"Đã bán 37,1k",https://www.thegioididong.com/dtdd/vivo-v60-lite-8gb-256gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/357576/vivo-v60-lite-pink-thumbai-600x600.jpg
364187,Điện thoại,Điện thoại realme C100 4G 8GB/128GB,7690000,realme,Tím,5,"Đã bán 6,5k",https://www.thegioididong.com/dtdd/realme-c100-4g-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/364187/realme-c100-tim-thumb-600x600.jpg
358026,Điện thoại,Điện thoại Honor X7d 5G 8GB/256GB,6540000,HONOR,Vàng,4.9,"Đã bán 7,4k",https://www.thegioididong.com/dtdd/honor-x7d-5g-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/358026/honor-x7d-5g-gold-thumb-600x600.jpg
364633,Điện thoại,Điện thoại Tecno Spark Go 3 4GB/128GB,3640000,Tecno,Xanh Dương,5,"Đã bán 1,9k",https://www.thegioididong.com/dtdd/tecno-spark-go-3-4gb-128gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/364633/tecno-spark-go-3-xanh-thumb-600x600.jpg
362373,Điện thoại,Điện thoại Motorola G57 Power 5G 8GB/128GB,6040000,Motorola,Xanh Bạc Hà,4.9,"Đã bán 2,2k",https://www.thegioididong.com/dtdd/motorola-g57-power-5g-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/362373/motorola-g57-power-5g-8gb-128gb-xanh-bac-ha-thumb-1-600x600.jpg
342692,Điện thoại,Điện thoại iPhone 17e 256GB,21590000,iPhone (Apple),Hồng nhạt,4.9,"Đã bán 4,3k",https://www.thegioididong.com/dtdd/iphone-17e-256gb,https://cdn.tgdd.vn/Products/Images/42/342692/iphone-17e-256gb-hong-thumb-600x600.jpg
360302,Điện thoại,Điện thoại Xiaomi Redmi Note 15 6GB/128GB,4490000,Xiaomi,Tím,4.9,"Đã bán 8,2k",https://www.thegioididong.com/dtdd/xiaomi-redmi-note-15-6gb-128gb,https://cdn.tgdd.vn/Products/Images/42/360302/xiaomi-redmi-note-15-thumb-600x600.jpg
360244,Điện thoại,Điện thoại OPPO A6x 4GB/64GB,4840000,OPPO,Titan Tím,4.9,"Đã bán 38,8k",https://www.thegioididong.com/dtdd/oppo-a6x-4gb-64gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/360244/oppo-a6x-titan-tim-thumb-600x600.jpg
368101,Điện thoại,Điện thoại OPPO Reno16 Pro 5G 12GB/256GB,23240000,OPPO,Đen,4.9,Đã bán 996,https://www.thegioididong.com/dtdd/oppo-reno16-pro,https://cdn.tgdd.vn/Products/Images/42/368101/oppo-reno16-pro-den-thumb-600x600.jpg
357862,Điện thoại,Điện thoại vivo X300 Pro 5G 16GB/512GB,31040000,vivo,Đen,4.9,"Đã bán 1,3k",https://www.thegioididong.com/dtdd/vivo-x300-pro,https://cdn.tgdd.vn/Products/Images/42/357862/vivo-x300-pro-den-thumb-600x600.jpg
